S.No,State,Year_,Causes,Education_status,Means_adopted,Professional_Profile,Social_Status,Gender,Age_group,Number_of_suicides
84,A & N Islands,2001,Professional/Career Problem,Post Graduate,No,Professional Activity,Divorcee,M,15-29,0
85,A & N Islands,2001,Bankruptcy or Sudden change in Economic Status,Post Graduate,No,Unemployed,Divorcee,M,15-29,0
86,A & N Islands,2001,Drug Abuse/Addiction,Diploma,No,Retired Person,Seperated,M,15-29,0
87,A & N Islands,2001,Ideological Causes/Hero Worshipping,Diploma,No,House Wife,Widowed,M,15-29,0
88,A & N Islands,2001,Cancellation/Non-Settlement of Marriage,Post Graduate,No,House Wife,Divorcee,M,15-29,0
89,A & N Islands,2001,Family Problems,Middle,By Hanging,Service (Private),Married,M,15-29,3
90,A & N Islands,2001,Love Affairs,Primary,By Hanging,Service (Private),Married,M,15-29,3
91,A & N Islands,2001,Insanity/Mental Illness,Primary,By Hanging,Public Sector Undertaking,Married,M,15-29,2
92,A & N Islands,2001,Death of Dear Person,Diploma,No,Professional Activity,Divorcee,M,15-29,0
93,A & N Islands,2001,Not having Children,Post Graduate,No,Retired Person,Divorcee,M,15-29,0
94,A & N Islands,2001,Poverty,Post Graduate,No,Unemployed,Seperated,M,15-29,0
95,A & N Islands,2001,Property Dispute,Post Graduate,No,Unemployed,Seperated,M,15-29,0
96,A & N Islands,2001,Illness (Aids/STD),Diploma,No,Retired Person,Divorcee,M,15-29,0
97,A & N Islands,2001,Dowry Dispute,Post Graduate,No,Professional Activity,Divorcee,M,15-29,0
98,A & N Islands,2001,Suspected/Illicit Relation,Post Graduate,No,House Wife,Seperated,M,15-29,0
99,A & N Islands,2001,Paralysis,Post Graduate,No,Retired Person,Seperated,M,15-29,0
100,A & N Islands,2001,Fall in Social Reputation,Diploma,No,Professional Activity,Seperated,M,15-29,0
101,A & N Islands,2001,Failure in Examination,Graduate,By Fire/Self Immolation,Service (Private),Married,M,15-29,1
102,A & N Islands,2001,Unemployment,Post Graduate,No,Unemployed,Seperated,M,15-29,0
103,A & N Islands,2001,Divorce,Post Graduate,No,House Wife,Divorcee,M,15-29,0
104,A & N Islands,2001,Causes Not known,Primary,By Hanging,Service (Private),Married,M,15-29,9
105,A & N Islands,2001,Cancellation/Non-Settlement of Marriage,Diploma,No,Public Sector Undertaking,Seperated,F,30-44,0
106,A & N Islands,2001,Divorce,Post Graduate,No,Service (Private),Widowed,F,30-44,0
107,A & N Islands,2001,Drug Abuse/Addiction,Hr. Secondary/Intermediate/Pre-Universit,No,Service (Government),Divorcee,F,30-44,0
108,A & N Islands,2001,Not having Children,Diploma,No,Others,Married,F,30-44,0
109,A & N Islands,2001,Other Prolonged Illness,Middle,By Hanging,House Wife,Married,F,30-44,3
110,A & N Islands,2001,Physical Abuse (Rape/Incest Etc.),Post Graduate,No,Service (Government),Seperated,F,30-44,0
111,A & N Islands,2001,Property Dispute,Hr. Secondary/Intermediate/Pre-Universit,No,Student,Widowed,F,30-44,0
112,A & N Islands,2001,Illegitimate Pregnancy,Hr. Secondary/Intermediate/Pre-Universit,No,Student,Divorcee,F,30-44,0
113,A & N Islands,2001,Family Problems,Post Graduate,No,Farming/Agriculture Activity,Married,F,30-44,0
114,A & N Islands,2001,Causes Not known,Middle,By Hanging,House Wife,Married,F,30-44,2
115,A & N Islands,2001,Death of Dear Person,Middle,By Fire/Self Immolation,House Wife,Married,F,30-44,1
116,A & N Islands,2001,Suspected/Illicit Relation,Post Graduate,No,Public Sector Undertaking,Seperated,F,30-44,0
117,A & N Islands,2001,Cancer,Diploma,No,Professional Activity,Widowed,F,30-44,0
118,A & N Islands,2001,Failure in Examination,Hr. Secondary/Intermediate/Pre-Universit,No,Others,Divorcee,F,30-44,0
119,A & N Islands,2001,Bankruptcy or Sudden change in Economic Status,Diploma,No,Self Employed,Married,F,30-44,0
120,A & N Islands,2001,Paralysis,Diploma,No,Service (Private),Married,F,30-44,0
121,A & N Islands,2001,Poverty,Post Graduate,No,Public Sector Undertaking,Married,F,30-44,0
122,A & N Islands,2001,Professional/Career Problem,Diploma,No,Self Employed,Married,F,30-44,0
123,A & N Islands,2001,Illness (Aids/STD),Diploma,No,Unemployed,Seperated,F,30-44,0
124,A & N Islands,2001,Fall in Social Reputation,Hr. Secondary/Intermediate/Pre-Universit,No,Retired Person,Widowed,F,30-44,0
125,A & N Islands,2001,Dowry Dispute,Diploma,No,Professional Activity,Divorcee,F,30-44,0
126,A & N Islands,2001,Ideological Causes/Hero Worshipping,Diploma,No,Professional Activity,Married,F,30-44,0
127,A & N Islands,2001,Other Causes,Middle,By Drowning,House Wife,Married,F,30-44,1
128,A & N Islands,2001,Insanity/Mental Illness,Middle,By Hanging,House Wife,Married,F,30-44,2
129,A & N Islands,2001,Love Affairs,Diploma,No,Professional Activity,Married,F,30-44,0
130,A & N Islands,2001,Unemployment,Diploma,No,Public Sector Undertaking,Seperated,F,30-44,0
131,A & N Islands,2001,Failure in Examination,Diploma,No,Unemployed,Widowed,M,30-44,0
132,A & N Islands,2001,Fall in Social Reputation,Post Graduate,No,Professional Activity,Seperated,M,30-44,0
133,A & N Islands,2001,Insanity/Mental Illness,Middle,By Hanging,Service (Private),Never Married,M,30-44,3
134,A & N Islands,2001,Love Affairs,Post Graduate,No,Self Employed,Married,M,30-44,0
135,A & N Islands,2001,Poverty,Post Graduate,No,Retired Person,Widowed,M,30-44,0
136,A & N Islands,2001,Unemployment,Diploma,No,Unemployed,Seperated,M,30-44,0
137,A & N Islands,2001,Dowry Dispute,Diploma,No,Professional Activity,Never Married,M,30-44,0
138,A & N Islands,2001,Drug Abuse/Addiction,Diploma,No,Student,Never Married,M,30-44,0
139,A & N Islands,2001,Causes Not known,Middle,By Hanging,Service (Government),Married,M,30-44,8
140,A & N Islands,2001,Physical Abuse (Rape/Incest Etc.),Post Graduate,No,Retired Person,Widowed,M,30-44,0
141,A & N Islands,2001,Cancer,Post Graduate,No,House Wife,Seperated,M,30-44,0
142,A & N Islands,2001,Ideological Causes/Hero Worshipping,Diploma,No,Professional Activity,Married,M,30-44,0
143,A & N Islands,2001,Cancellation/Non-Settlement of Marriage,Diploma,No,Unemployed,Divorcee,M,30-44,0
144,A & N Islands,2001,Death of Dear Person,Diploma,No,House Wife,Married,M,30-44,0
145,A & N Islands,2001,Not having Children,Diploma,No,Unemployed,Married,M,30-44,0
146,A & N Islands,2001,Other Prolonged Illness,Secondary,By Hanging,Others,Never Married,M,30-44,6
147,A & N Islands,2001,Paralysis,Post Graduate,No,Retired Person,Divorcee,M,30-44,0
148,A & N Islands,2001,Divorce,Post Graduate,No,Professional Activity,Divorcee,M,30-44,0
149,A & N Islands,2001,Illness (Aids/STD),Post Graduate,No,Self Employed,Married,M,30-44,0
150,A & N Islands,2001,Property Dispute,Diploma,No,House Wife,Married,M,30-44,0
151,A & N Islands,2001,Professional/Career Problem,Diploma,No,Unemployed,Seperated,M,30-44,0
152,A & N Islands,2001,Suspected/Illicit Relation,Post Graduate,No,Unemployed,Married,M,30-44,0
153,A & N Islands,2001,Family Problems,Secondary,By Hanging,Service (Private),Never Married,M,30-44,4
154,A & N Islands,2001,Other Causes,Primary,By Drowning or By Hanging,Service (Government),Never Married,M,30-44,2
155,A & N Islands,2001,Bankruptcy or Sudden change in Economic Status,Post Graduate,No,Self Employed,Never Married,M,30-44,0
156,A & N Islands,2001,Illegitimate Pregnancy,Post Graduate,No,House Wife,Married,M,30-44,0
157,A & N Islands,2001,Drug Abuse/Addiction,Diploma,No,Service (Government),Seperated,F,45-59,0
158,A & N Islands,2001,Not having Children,Graduate,No,Professional Activity,Widowed,F,45-59,0
159,A & N Islands,2001,Dowry Dispute,Post Graduate,No,Farming/Agriculture Activity,Divorcee,F,45-59,0
160,A & N Islands,2001,Family Problems,Middle,By Hanging,House Wife,Married,F,45-59,2
161,A & N Islands,2001,Ideological Causes/Hero Worshipping,Diploma,No,Farming/Agriculture Activity,Married,F,45-59,0
162,A & N Islands,2001,Suspected/Illicit Relation,Diploma,No,Service (Government),Married,F,45-59,0
163,A & N Islands,2001,Causes Not known,Middle,By Fire/Self Immolation,House Wife,Married,F,45-59,1
164,A & N Islands,2001,Professional/Career Problem,Post Graduate,No,Student,Never Married,F,45-59,0
165,A & N Islands,2001,Illness (Aids/STD),Graduate,No,Unemployed,Seperated,F,45-59,0
166,A & N Islands,2001,Property Dispute,Post Graduate,No,Self Employed,Widowed,F,45-59,0
167,A & N Islands,2001,Physical Abuse (Rape/Incest Etc.),Graduate,No,Service (Government),Married,F,45-59,0
168,A & N Islands,2001,Cancellation/Non-Settlement of Marriage,Post Graduate,No,Professional Activity,Married,F,45-59,0
169,A & N Islands,2001,Other Causes,Diploma,No,Retired Person,Married,F,45-59,0
170,A & N Islands,2001,Paralysis,Diploma,No,Service (Private),Married,F,45-59,0
171,A & N Islands,2001,Death of Dear Person,Post Graduate,No,Professional Activity,Seperated,F,45-59,0
172,A & N Islands,2001,Bankruptcy or Sudden change in Economic Status,Graduate,No,Farming/Agriculture Activity,Widowed,F,45-59,0
173,A & N Islands,2001,Illegitimate Pregnancy,Post Graduate,No,Public Sector Undertaking,Divorcee,F,45-59,0
174,A & N Islands,2001,Unemployment,Graduate,No,Service (Government),Married,F,45-59,0
175,A & N Islands,2001,Fall in Social Reputation,Graduate,No,Unemployed,Married,F,45-59,0
176,A & N Islands,2001,Other Prolonged Illness,Secondary,By Hanging,House Wife,Married,F,45-59,2
177,A & N Islands,2001,Poverty,Post Graduate,No,Professional Activity,Never Married,F,45-59,0
178,A & N Islands,2001,Love Affairs,Post Graduate,No,Public Sector Undertaking,Seperated,F,45-59,0
179,A & N Islands,2001,Divorce,Diploma,No,Professional Activity,Widowed,F,45-59,0
180,A & N Islands,2001,Insanity/Mental Illness,Post Graduate,No,Professional Activity,Divorcee,F,45-59,0
181,A & N Islands,2001,Failure in Examination,Graduate,No,Student,Married,F,45-59,0
182,A & N Islands,2001,Cancer,Post Graduate,No,Retired Person,Married,F,45-59,0
183,A & N Islands,2001,Paralysis,Diploma,No,Others,Married,M,45-59,0
184,A & N Islands,2001,Bankruptcy or Sudden change in Economic Status,Diploma,No,Professional Activity,Seperated,M,45-59,0
185,A & N Islands,2001,Cancer,Diploma,No,Unemployed,Widowed,M,45-59,0
186,A & N Islands,2001,Poverty,Post Graduate,No,Student,Divorcee,M,45-59,0
187,A & N Islands,2001,Failure in Examination,Post Graduate,No,Professional Activity,Seperated,M,45-59,0
188,A & N Islands,2001,Fall in Social Reputation,Post Graduate,No,Unemployed,Widowed,M,45-59,0
189,A & N Islands,2001,Illness (Aids/STD),Post Graduate,No,Self Employed,Divorcee,M,45-59,0
190,A & N Islands,2001,Death of Dear Person,Post Graduate,No,Student,Never Married,M,45-59,0
191,A & N Islands,2001,Divorce,Diploma,No,Professional Activity,Never Married,M,45-59,0
192,A & N Islands,2001,Illegitimate Pregnancy,Post Graduate,No,Retired Person,Married,M,45-59,0
193,A & N Islands,2001,Causes Not known,Middle,By Hanging,Service (Government),Married,M,45-59,10
194,A & N Islands,2001,Family Problems,Middle,By Consuming Other Poison,Service (Government),Married,M,45-59,3
195,A & N Islands,2001,Insanity/Mental Illness,Middle,By Hanging,Service (Government),Married,M,45-59,3
196,A & N Islands,2001,Property Dispute,Diploma,No,Retired Person,Never Married,M,45-59,0
197,A & N Islands,2001,Dowry Dispute,Diploma,No,Retired Person,Married,M,45-59,0
198,A & N Islands,2001,Other Causes,No Education,By Drowning,Public Sector Undertaking,Married,M,45-59,1
199,A & N Islands,2001,Professional/Career Problem,Post Graduate,No,Farming/Agriculture Activity,Married,M,45-59,0
200,A & N Islands,2001,Physical Abuse (Rape/Incest Etc.),Diploma,No,Self Employed,Married,M,45-59,0
201,A & N Islands,2001,Drug Abuse/Addiction,Diploma,No,Retired Person,Married,M,45-59,0
202,A & N Islands,2001,Suspected/Illicit Relation,Post Graduate,No,Farming/Agriculture Activity,Married,M,45-59,0
203,A & N Islands,2001,Other Prolonged Illness,Middle,By Hanging,Others,Married,M,45-59,4
204,A & N Islands,2001,Ideological Causes/Hero Worshipping,Post Graduate,No,Self Employed,Never Married,M,45-59,0
205,A & N Islands,2001,Cancellation/Non-Settlement of Marriage,Post Graduate,No,Farming/Agriculture Activity,Seperated,M,45-59,0
206,A & N Islands,2001,Love Affairs,Post Graduate,No,Unemployed,Widowed,M,45-59,0
207,A & N Islands,2001,Not having Children,Diploma,No,Retired Person,Divorcee,M,45-59,0
208,A & N Islands,2001,Unemployment,Post Graduate,No,Student,Married,M,45-59,0
209,A & N Islands,2001,Dowry Dispute,Post Graduate,No,Public Sector Undertaking,Seperated,F,60+,0
210,A & N Islands,2001,Ideological Causes/Hero Worshipping,Diploma,No,Student,Widowed,F,60+,0
211,A & N Islands,2001,Bankruptcy or Sudden change in Economic Status,Graduate,No,Service (Government),Divorcee,F,60+,0
212,A & N Islands,2001,Cancellation/Non-Settlement of Marriage,Graduate,No,Self Employed,Married,F,60+,0
213,A & N Islands,2001,Cancer,Post Graduate,No,Service (Private),Married,F,60+,0
214,A & N Islands,2001,Paralysis,Graduate,No,Professional Activity,Married,F,60+,0
215,A & N Islands,2001,Divorce,Graduate,No,Others,Married,F,60+,0
216,A & N Islands,2001,Illness (Aids/STD),Diploma,No,Retired Person,Married,F,60+,0
217,A & N Islands,2001,Physical Abuse (Rape/Incest Etc.),Post Graduate,No,Unemployed,Married,F,60+,0
218,A & N Islands,2001,Illegitimate Pregnancy,Post Graduate,No,Farming/Agriculture Activity,Married,F,60+,0
219,A & N Islands,2001,Insanity/Mental Illness,Secondary,By Hanging,House Wife,Married,F,60+,1
220,A & N Islands,2001,Failure in Examination,Graduate,No,Professional Activity,Never Married,F,60+,0
221,A & N Islands,2001,Other Prolonged Illness,Secondary,By Hanging,House Wife,Married,F,60+,1
222,A & N Islands,2001,Poverty,Post Graduate,No,Others,Never Married,F,60+,0
223,A & N Islands,2001,Fall in Social Reputation,Hr. Secondary/Intermediate/Pre-Universit,No,Service (Government),Never Married,F,60+,0
224,A & N Islands,2001,Love Affairs,Hr. Secondary/Intermediate/Pre-Universit,No,Professional Activity,Never Married,F,60+,0
225,A & N Islands,2001,Causes Not known,Secondary,By Hanging,House Wife,Married,F,60+,1
226,A & N Islands,2001,Professional/Career Problem,Hr. Secondary/Intermediate/Pre-Universit,No,Service (Government),Married,F,60+,0
227,A & N Islands,2001,Property Dispute,Diploma,No,Professional Activity,Never Married,F,60+,0
228,A & N Islands,2001,Other Causes,Graduate,No,Retired Person,Seperated,F,60+,0
229,A & N Islands,2001,Drug Abuse/Addiction,Hr. Secondary/Intermediate/Pre-Universit,No,Farming/Agriculture Activity,Widowed,F,60+,0
230,A & N Islands,2001,Not having Children,Diploma,No,Others,Divorcee,F,60+,0
231,A & N Islands,2001,Suspected/Illicit Relation,Hr. Secondary/Intermediate/Pre-Universit,No,Unemployed,Seperated,F,60+,0
232,A & N Islands,2001,Death of Dear Person,Diploma,No,Others,Widowed,F,60+,0
233,A & N Islands,2001,Family Problems,Post Graduate,No,Professional Activity,Divorcee,F,60+,0
234,A & N Islands,2001,Unemployment,Post Graduate,No,Others,Married,F,60+,0
235,A & N Islands,2001,Divorce,Diploma,No,Professional Activity,Married,M,60+,0
236,A & N Islands,2001,Physical Abuse (Rape/Incest Etc.),Post Graduate,No,House Wife,Married,M,60+,0
237,A & N Islands,2001,Professional/Career Problem,Post Graduate,No,Student,Never Married,M,60+,0
238,A & N Islands,2001,Unemployment,Post Graduate,No,Service (Government),Seperated,M,60+,0
239,A & N Islands,2001,Property Dispute,Post Graduate,No,House Wife,Widowed,M,60+,0
240,A & N Islands,2001,Death of Dear Person,Diploma,No,Unemployed,Divorcee,M,60+,0
241,A & N Islands,2001,Not having Children,Post Graduate,No,Professional Activity,Married,M,60+,0
242,A & N Islands,2001,Cancellation/Non-Settlement of Marriage,Diploma,No,Student,Seperated,M,60+,0
243,A & N Islands,2001,Love Affairs,Diploma,No,Service (Government),Widowed,M,60+,0
244,A & N Islands,2001,Poverty,Post Graduate,No,House Wife,Divorcee,M,60+,0
245,A & N Islands,2001,Bankruptcy or Sudden change in Economic Status,Post Graduate,No,Student,Married,M,60+,0
246,A & N Islands,2001,Fall in Social Reputation,Diploma,No,Service (Government),Married,M,60+,0
247,A & N Islands,2001,Other Prolonged Illness,No Education,By Hanging,Farming/Agriculture Activity ,Married,M,60+,4
248,A & N Islands,2001,Illness (Aids/STD),Diploma,No,Professional Activity,Married,M,60+,0
249,A & N Islands,2001,Dowry Dispute,Post Graduate,No,Student,Never Married,M,60+,0
250,A & N Islands,2001,Ideological Causes/Hero Worshipping,Diploma,No,Service (Government),Married,M,60+,0
251,A & N Islands,2001,Insanity/Mental Illness,Hr. Secondary/Intermediate/Pre-Universit,By Hanging,Service (Private),Married,M,60+,1
252,A & N Islands,2001,Drug Abuse/Addiction,Diploma,No,Unemployed,Never Married,M,60+,0
253,A & N Islands,2001,Failure in Examination,Diploma,No,Self Employed,Married,M,60+,0
254,A & N Islands,2001,Family Problems,Hr. Secondary/Intermediate/Pre-Universit,By Hanging,Others,Never Married,M,60+,1
255,A & N Islands,2001,Illegitimate Pregnancy,Post Graduate,No,Self Employed,Married,M,60+,0
256,A & N Islands,2001,Paralysis,Post Graduate,No,Professional Activity,Married,M,60+,0
257,A & N Islands,2001,Cancer,Post Graduate,No,Public Sector Undertaking,Married,M,60+,0
258,A & N Islands,2001,Causes Not known,Post Graduate,No,Self Employed,Married,M,60+,0
259,A & N Islands,2001,Other Causes,No Education,By Hanging,Retired Person,Married,M,60+,2
260,A & N Islands,2001,Suspected/Illicit Relation,Post Graduate,No,Public Sector Undertaking,Never Married,M,60+,0
261,A & N Islands,2002,Paralysis,Primary,No,Student,Never Married,F,0-14,0
262,A & N Islands,2002,Causes Not known,Middle,No,Student,Never Married,F,0-14,0
263,A & N Islands,2002,Insanity/Mental Illness,No Education,No,Student,Never Married,F,0-14,0
264,A & N Islands,2002,Professional/Career Problem,Matriculate/Secondary,No,Student,Never Married,F,0-14,0
265,A & N Islands,2002,Cancellation/Non-Settlement of Marriage,Primary,No,Student,Never Married,F,0-14,0
266,A & N Islands,2002,Love Affairs,Matriculate/Secondary,No,Unemployed,Never Married,F,0-14,0
267,A & N Islands,2002,Illness (Aids/STD),Middle,No,Farming/Agriculture Activity,Never Married,F,0-14,0
268,A & N Islands,2002,Unemployment,No Education,No,Farming/Agriculture Activity,Never Married,F,0-14,0
269,A & N Islands,2002,Family Problems,Middle,By Hanging,Student,Never Married,F,0-14,1
270,A & N Islands,2002,Cancer,Primary,No,Student,Never Married,F,0-14,0
271,A & N Islands,2002,Other Prolonged Illness,Matriculate/Secondary,No,Student,Never Married,F,0-14,0
272,A & N Islands,2002,Drug Abuse/Addiction,No Education,No,Unemployed,Never Married,F,0-14,0
273,A & N Islands,2002,Divorce,Middle,No,House Wife,Divorcee,F,0-14,0
274,A & N Islands,2002,Fall in Social Reputation,Primary,No,Student,Never Married,F,0-14,0
275,A & N Islands,2002,Illegitimate Pregnancy,Matriculate/Secondary,No,Student,Never Married,F,0-14,0
276,A & N Islands,2002,Physical Abuse (Rape/Incest Etc.),No Education,No,Student,Never Married,F,0-14,0
277,A & N Islands,2002,Other Causes,Primary,No,Student,Never Married,F,0-14,0
278,A & N Islands,2002,Property Dispute,Middle,No,Student,Never Married,F,0-14,0
279,A & N Islands,2002,Suspected/Illicit Relation,Primary,No,Student,Never Married,F,0-14,0
280,A & N Islands,2002,Bankruptcy or Sudden change in Economic Status,No Education,No,Student,Never Married,F,0-14,0
